username,urls,post_dates,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/WLYjMnAvoh,1361846631,609400,26289,0,11,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/BGYJsBXAvhE,1465354262,1348779,15595,0,0,0,0,1,FALSE
justinbieber,https://www.instagram.com/p/hSqfGRgvr_,1385713236,935287,33293,0,1,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/COltyG7HUCy,1620428217,2334409,20286,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/oO2LA3gvk0,1400617531,1012828,31556,0,49,9,0,0,TRUE
justinbieber,https://www.instagram.com/p/BDrdxsVAvon,1459559878,1968591,44348,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/Jiil7,1312674274,130947,1449,0,36,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/Ipyi_,1311788105,160547,5616,0,15,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/iHqJK_gvp0,1387491442,457019,3687,2,16,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/CEadm28nyG2,1598575801,1464496,5488,0,88,14,0,0,FALSE
justinbieber,https://www.instagram.com/p/BDcArURAvtC,1459041304,2192647,255473,0,30,6,0,0,FALSE
justinbieber,https://www.instagram.com/p/6LC3R2Avip,1439144673,792340,12487,1,34,6,0,0,FALSE
justinbieber,https://www.instagram.com/p/IRj8O,1311383542,875758,136037,0,15,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/BDE9ZcyAvk1,1458267833,2036896,42616,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BgC6xoCjZF1,1520476376,2005659,18400,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BHi7FUXBP1g,1467863187,1460598,12538,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B4i8f54H89c,1573090628,504927,2761,0,20,5,6,0,FALSE
justinbieber,https://www.instagram.com/p/iRH5ebgvkk,1387809031,665138,12115,1,49,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/3XSbsDgvkL,1433113038,1213359,21399,1,10,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/4A6GD2Avus,1434509564,1231825,26038,0,25,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/rvBMTNAvo2,1408139501,755998,32392,0,42,9,0,0,TRUE
justinbieber,https://www.instagram.com/p/oZ8hSRAvlO,1400989958,975193,11504,0,68,14,0,0,FALSE
justinbieber,https://www.instagram.com/p/CTFkBCeFZey,1630086773,1143211,4748,0,14,2,1,0,FALSE
justinbieber,https://www.instagram.com/p/BU8BbDsDRmD,1496622660,3000957,57656,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B4iyZ8anVHS,1573085337,966987,2682,0,36,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/B9mYczGny0q,1583943409,427415,2015,2,45,5,0,0,TRUE
justinbieber,https://www.instagram.com/p/BUKrC3ijyYb,1494966760,1476678,13274,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/qgYOahgvjo,1405500777,812821,11238,0,10,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/BgF86b_DxYO,1520578160,5929849,109014,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/-3w-yzAvgZ,1449235181,1355671,19387,0,9,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/BU5iofnDVOc,1496539408,1541752,12716,0,15,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/iHqJK_gvp0,1387491442,457019,3687,2,16,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/BVF6AdBjmIj,1496954316,1084193,8141,1,22,3,0,0,TRUE
justinbieber,https://www.instagram.com/p/B-MKEZInDSg,1585210914,347676,2124,0,59,13,0,0,TRUE
justinbieber,https://www.instagram.com/p/cGK6aSgvt5,1374556611,607437,29421,0,49,11,0,0,TRUE
justinbieber,https://www.instagram.com/p/BDONRB9gvrb,1458578143,1631487,26913,0,0,0,0,1,FALSE
justinbieber,https://www.instagram.com/p/CCpacQwnx7b,1594782490,2335008,10247,0,86,15,0,0,FALSE
justinbieber,https://www.instagram.com/p/ieYo2LAvhJ,1388254016,919438,26801,0,14,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/S4pTkUgvqg,1354775431,299167,3784,0,18,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/4ztze8gvvV,1436214396,1330238,15325,0,83,15,0,0,FALSE
justinbieber,https://www.instagram.com/p/B6_fI4SnSyn,1578343316,987596,8127,0,31,6,0,0,TRUE
justinbieber,https://www.instagram.com/p/BBdguwdgvq2,1454796697,1085256,9887,0,25,4,0,0,TRUE
justinbieber,https://www.instagram.com/p/lprRdEAvq8,1395075335,677894,15364,0,43,7,0,0,TRUE
justinbieber,https://www.instagram.com/p/BJKBmoiBPLO,1471322713,1146235,25124,1,5,1,0,0,TRUE
justinbieber,https://www.instagram.com/p/CaQMAouPhIS,1645475671,686671,2634,0,14,2,1,0,FALSE
justinbieber,https://www.instagram.com/p/CRPNRgXn4pe,1626115426,1322909,4089,0,40,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/CJy-PDfnp4S,1610135632,547296,3755,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/COWAD96nbyf,1619900929,3372846,20903,0,115,17,0,0,FALSE
justinbieber,https://www.instagram.com/p/oCpqUjgvtZ,1400208319,892871,12860,0,6,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/jeFu7egvgj,1390391588,972440,18311,0,18,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/BW0-IC4jXY2,1500681017,2736496,72123,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/7bhxeEAvgN,1441845233,1061359,13343,0,50,9,0,0,FALSE
justinbieber,https://www.instagram.com/p/QfxEYdgvi9,1349645673,367930,8194,0,7,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/CKmq--Uni3w,1611870369,1423305,11531,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/-LJO1zAvv1,1447737946,1079381,5685,0,47,10,0,0,FALSE
justinbieber,https://www.instagram.com/p/B0H_psSH_s7,1563596377,3139876,19560,0,18,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/CLH7cwwnTTe,1612986313,670094,12785,0,31,6,0,0,TRUE
justinbieber,https://www.instagram.com/p/ytttoBgvos,1423128120,1134607,20363,0,60,14,0,0,FALSE
justinbieber,https://www.instagram.com/p/B8AP2d6nCqD,1580516304,466381,788,0,12,2,1,0,FALSE
justinbieber,https://www.instagram.com/p/CFAxefynsKb,1599861286,2403883,11612,0,36,7,2,0,FALSE
justinbieber,https://www.instagram.com/p/RRysUsAvk6,1351324248,424270,7223,0,9,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/-ui8d-gvnf,1448925832,1227077,12604,0,63,14,0,0,FALSE
justinbieber,https://www.instagram.com/p/n3qDBUgvhN,1399839422,699401,6494,1,9,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/B20bgu2nhBd,1569382357,899061,4829,0,26,3,0,0,TRUE
justinbieber,https://www.instagram.com/p/BDovDlvAviY,1459468274,1478500,34800,1,28,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/-D2vXwAvrX,1447493370,972573,4332,0,65,13,0,0,FALSE
justinbieber,https://www.instagram.com/p/WV13vggvkB,1362197548,532148,23919,0,15,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/CNIWqAIHX1T,1617295529,1632892,6575,0,41,6,1,0,FALSE
justinbieber,https://www.instagram.com/p/rvGWPdgvgz,1408142204,681447,29611,0,40,6,0,0,TRUE
justinbieber,https://www.instagram.com/p/B_2VAd9D3VP,1588773398,1036851,5768,1,37,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/j10Wo-gvoJ,1391187782,1068527,64549,0,1,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/nR2zvIgvmu,1398571044,654556,22523,0,74,13,0,0,FALSE
justinbieber,https://www.instagram.com/p/UYrAM,1321438463,155918,4922,0,15,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/CNdUS7anpbA,1617998935,1050728,9479,0,46,9,1,1,FALSE
justinbieber,https://www.instagram.com/p/-8PulhgvoH,1449385519,2000790,31439,0,54,9,0,0,FALSE
justinbieber,https://www.instagram.com/p/q0MW2QAvjZ,1406165644,502250,10622,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/9JKFDdAvpa,1445523798,830028,19469,1,57,9,0,0,FALSE
justinbieber,https://www.instagram.com/p/-xMGB7AvhA,1449014515,876022,4798,0,11,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/-8R_migvrD,1449386707,3038695,346735,0,15,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/BvDkK32HqXy,1552710333,1453287,16936,0,4,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/CDFZjDJHG_Q,1595721546,1227573,3427,1,57,8,0,0,FALSE
justinbieber,https://www.instagram.com/p/Tj1HKGgvjs,1356224462,435233,8412,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/Pf7wItAvqF,1347503791,330906,11481,0,37,8,0,0,FALSE
justinbieber,https://www.instagram.com/p/n4IcodgvjT,1399855361,1018018,14733,0,39,11,0,0,FALSE
justinbieber,https://www.instagram.com/p/TMoCs2Avi3,1355445857,403004,9027,0,16,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/CQtXSCJH0AC,1624979822,1190218,6113,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BUcnAemDJ0C,1495568623,2339294,52244,0,20,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/B_x4Jinn4-k,1588624050,2390991,7671,0,157,30,0,0,FALSE
justinbieber,https://www.instagram.com/p/CDNZ5niH36B,1595990178,2678407,9693,0,14,3,0,0,TRUE
justinbieber,https://www.instagram.com/p/hM0JZ3gvtQ,1385516975,955146,22166,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/Bvw0poeHwSd,1554228923,3814476,26847,0,337,66,0,0,FALSE
justinbieber,https://www.instagram.com/p/B6eDC5BnFqJ,1577221256,1634738,2369,0,39,6,0,2,FALSE
justinbieber,https://www.instagram.com/p/b0SPgSAvro,1373956474,833683,19518,0,21,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/BADwhoxAvm-,1451785079,1806559,63197,0,4,1,0,1,FALSE
justinbieber,https://www.instagram.com/p/BIa8U9dBaCZ,1469742888,1561994,19162,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BEvQmZFAvsm,1461834671,1557048,21715,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/7TX8CrAvnT,1441571641,951393,6531,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BJCEGTQhjvm,1471055585,1283500,117658,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/hvWia1gvv7,1386675856,822453,21821,1,37,5,0,0,TRUE
justinbieber,https://www.instagram.com/p/BH8mkiqBh5E,1468724848,1659052,17886,0,7,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/5Vx__QAvgn,1437357446,1223621,33078,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BR9Q-Wijc9d,1490221916,2413736,25982,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/hMyu-tgvre,1385516234,874051,16227,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CHwTIEQntsq,1605750954,1136837,19228,0,704,127,0,0,FALSE
justinbieber,https://www.instagram.com/p/BA-8Drqgvl5,1453770837,1662823,27252,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B9vMY6jHYz0,1584239031,1546660,11352,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CTAS8bFFvYc,1629910050,1884340,8178,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/tlckutAvtU,1412113280,1049602,22740,0,14,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/CREpohJnP4s,1625761327,795489,4053,0,142,20,1,0,TRUE
justinbieber,https://www.instagram.com/p/Vm0vQfgvur,1360619896,616209,12548,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CObVRnBnCsY,1620079823,1990091,8167,0,33,3,9,0,FALSE
justinbieber,https://www.instagram.com/p/CNqH5ZgnUKF,1618428642,690485,1550,0,44,8,1,0,FALSE
justinbieber,https://www.instagram.com/p/hvGs8AAvkz,1386667554,926248,13257,1,48,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/BhLHzBTjLWh,1522899122,2989644,46654,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/-mPwAhAvjG,1448647333,1237398,12179,1,8,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/8n6LC8gvgc,1444408162,584897,2764,2,16,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/CHwTIEQntsq,1605750954,1136837,19228,0,704,127,0,0,FALSE
justinbieber,https://www.instagram.com/p/6xtKmfgvlI,1440441920,754831,32113,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/9Ln4ZDAvsx,1445606532,882948,3920,0,20,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/CL4jr9_HTHt,1614618007,2117005,22337,0,15,3,0,1,FALSE
justinbieber,https://www.instagram.com/p/CDSfcVkngUU,1596160844,1132578,5693,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BJCShPChzIt,1471063146,2036094,124448,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/7tQLq2gvmm,1442439990,1066966,13434,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/3Szih3gvoX,1432962623,1268771,32640,0,16,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/hWXZnmAvsT,1385837448,888943,25429,0,5,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/B8W3bNmHphn,1581275321,581834,8432,0,57,12,0,0,TRUE
justinbieber,https://www.instagram.com/p/YNa9b,1323475227,110828,738,0,29,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/CN0rWCInBJF,1618782810,630154,4346,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/CRhwAVrHDPt,1626737615,426866,1106,0,35,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/CRg76FpHWG9,1626710301,1795634,14175,0,17,2,1,0,FALSE
justinbieber,https://www.instagram.com/p/CIEXdgCHi0O,1606424315,2725563,22529,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/TNHpTXAvgD,1355462426,370469,3806,0,18,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/BDONRB9gvrb,1458578143,1631487,26913,0,0,0,0,1,FALSE
justinbieber,https://www.instagram.com/p/txFvrsAvqZ,1412503965,884665,17095,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/BWY0Aq3DIjS,1499736190,1943861,48061,0,133,27,0,0,TRUE
justinbieber,https://www.instagram.com/p/CKhzLZhHde6,1611706893,1025817,3970,0,14,2,1,0,FALSE
justinbieber,https://www.instagram.com/p/CNDU98THCWF,1617126897,871346,10686,0,31,6,1,0,TRUE
justinbieber,https://www.instagram.com/p/B2yK3ODH-Ne,1569306509,925964,5130,0,19,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/B8fIUwpnOW6,1581552650,238005,743,2,154,23,0,0,TRUE
justinbieber,https://www.instagram.com/p/CNkxJThnNmT,1618248941,767538,7427,0,53,11,0,0,FALSE
justinbieber,https://www.instagram.com/p/oPZfrwAvjf,1400636050,1172541,31702,1,27,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/B63KMILH1Em,1578063910,2099204,22006,0,86,18,0,0,TRUE
justinbieber,https://www.instagram.com/p/CTXZ-gKFp3L,1630685489,964198,5274,0,10,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/CI7J8-2HNUI,1608262727,2526501,20247,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/sxxNNAgvvR,1410379267,802082,10593,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CUN9DEfvs6X,1632515815,976944,4240,0,38,4,0,1,FALSE
justinbieber,https://www.instagram.com/p/CasHTwNJ_ed,1646412766,582904,4256,0,46,9,1,0,TRUE
justinbieber,https://www.instagram.com/p/KdOmS,1313533933,126670,1822,0,19,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/VsI952Avvb,1360798274,682183,13510,0,10,3,0,0,FALSE
justinbieber,https://www.instagram.com/p/CRpTrbZnCw7,1626991199,1199885,4796,0,47,6,1,0,FALSE
justinbieber,https://www.instagram.com/p/BFHsiczAvh1,1462654625,1584217,11599,0,51,10,0,0,FALSE
justinbieber,https://www.instagram.com/p/CH9Nu30nT2z,1606184334,2285299,14756,0,44,12,0,0,FALSE
justinbieber,https://www.instagram.com/p/umWv56Avmt,1414291264,965178,37751,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CLaAbO6HGmF,1613592887,684278,3188,0,12,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/hIUsVMgvhG,1385366266,594571,5949,2,153,27,0,0,FALSE
justinbieber,https://www.instagram.com/p/BGdqFg8Avtx,1465539020,1617720,32684,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BWMhq9EjhfI,1499323922,2122481,23727,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/tDuAJIAvnF,1410981567,1292202,52599,0,35,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/d0_caVgvlf,1378275140,582450,26444,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/BAGZbjAgvvX,1451873634,1955911,27021,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/mqG1yrgvkM,1397237272,1119357,40791,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/txFvrsAvqZ,1412503965,884665,17095,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/683aCagvul,1440816388,580004,7023,0,0,0,0,0,TRUE
justinbieber,https://www.instagram.com/p/R_kC6XAvny,1352860071,277927,6354,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B7EDHDanft_,1578496475,250786,1335,0,112,19,0,0,TRUE
justinbieber,https://www.instagram.com/p/qncYlogvs2,1405737839,822981,13275,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/mJh6wIgvmz,1396144173,1171657,48254,0,1,1,0,0,FALSE
justinbieber,https://www.instagram.com/p/BAeHPv8gvqy,1452669407,1587139,14197,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/4f5kx0Avoc,1435549479,1035958,8336,1,171,34,0,0,FALSE
justinbieber,https://www.instagram.com/p/CJpUdrwneZM,1609811742,2237608,11059,0,15,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/tqmxi-AvnJ,1412286400,1017853,23339,0,47,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/9Ahl4jgvvQ,1445234136,1311395,31036,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BDKBZfKgvlZ,1458437703,1997374,56589,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B7pR4paHEUQ,1579745619,2953143,10621,0,46,9,0,0,FALSE
justinbieber,https://www.instagram.com/p/B_zvsrCnMc3,1588686728,1296020,3613,0,91,15,0,0,FALSE
justinbieber,https://www.instagram.com/p/b8KUiMAvv4,1374220757,815087,18390,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/RUZkahAvmf,1351411740,373873,7116,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BHi6MybBBiS,1467862724,967862,4618,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/674I7Sgvpo,1440783218,672422,6344,1,68,8,0,0,TRUE
justinbieber,https://www.instagram.com/p/CSNJOoTH57F,1628193680,1282040,13909,0,92,19,0,2,FALSE
justinbieber,https://www.instagram.com/p/BFm2JSaAvre,1463699849,1712512,16538,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/-8R_migvrD,1449386707,3038695,346735,0,15,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/BY_limHDkYv,1505332194,1174184,5906,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/BAPqZ9Fgvnz,1452184524,2119944,68566,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/PcEfCEAvo_,1347374151,231640,3906,0,48,11,0,0,FALSE
justinbieber,https://www.instagram.com/p/B997-7zn9HR,1584733766,2432181,18189,0,12,2,0,0,TRUE
justinbieber,https://www.instagram.com/p/BVkyt14Dou2,1497990681,1360482,12518,4,91,8,0,0,TRUE
justinbieber,https://www.instagram.com/p/CFZ6k3FnMtR,1600704918,2521511,11116,1,42,7,0,0,FALSE
justinbieber,https://www.instagram.com/p/q5IFBlgvmE,1406331173,565563,10471,0,22,4,0,0,TRUE
justinbieber,https://www.instagram.com/p/IMhuj,1311293684,481563,142489,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/JCNWs,1312161671,131840,2615,0,53,10,0,0,FALSE
justinbieber,https://www.instagram.com/p/W5H8B-AvlU,1363381426,646986,19076,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B-L5vc2nXuD,1585202333,1272106,5271,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/qKIjBtgvgF,1404754360,1169662,16481,0,20,5,0,0,FALSE
justinbieber,https://www.instagram.com/p/Z4xSp5gvjX,1369812004,705650,36143,0,21,4,0,0,FALSE
justinbieber,https://www.instagram.com/p/xAyO93Avlw,1419473057,930432,19995,0,15,2,0,0,FALSE
justinbieber,https://www.instagram.com/p/q5IFBlgvmE,1406331173,565563,10471,0,22,4,0,0,TRUE
justinbieber,https://www.instagram.com/p/RU_6E,1319485506,140469,2184,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/CEkym9IHtUa,1598922356,4418034,21833,0,0,0,0,0,FALSE
justinbieber,https://www.instagram.com/p/B3k20abHPK0,1571007276,2549177,11290,0,19,4,0,0,FALSE
justinpjtrudeau,https://www.instagram.com/p/Bh2jx2lBk9y,1524356633,79649,1805,2,1114,197,0,1,FALSE
justinpjtrudeau,https://www.instagram.com/p/Buj9mrdAk6H,1551649952,18063,911,0,485,82,0,7,TRUE
justinpjtrudeau,https://www.instagram.com/p/CVktmWarh-v,1635426951,46857,1249,0,527,84,0,0,FALSE
